Feature ID,Domain,Phylum,Class,Order,Family,Genus,Species
68a486845ed32c7a563fe27013f4f491,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsaceae,uncultured,uncultured_bacterium
e8b1a952db2b75bccdebf4d4526508aa,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,WCHB1-41,WCHB1-41,uncultured_organism
efdc1b98af8e4423bc0e2b8d05276078,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,AAP99,uncultured_bacterium
bfce50952b6118f7e27363f33ee9d292,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,uncultured_bacterium
b32891974292390506297cee85cec65f,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rubritepida,uncultured_bacterium
88509130d605d46ea06feeba9ade4bb0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,uncultured_Rickettsiales
6595733bf229abe8b4b564b36aa6c769,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_10,uncultured_bacterium
a51af6f7d3369f355257160b33da3cff,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,unassigned
225671ed33a06c9e372cb09428c37ff1,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,unassigned,unassigned
3f724d6df81fb1ca96862b8a9c664571,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,unassigned,unassigned
bd5d3c38f97c1b9f0cf343ab371a6719,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
0cbe68a8705165a1a8d0469a87755953,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Macellibacteroides,uncultured_bacterium
8e2fff3a8bb0300064207c11d6854a80,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
d0ae8daae3415cf4d419f396012f8772,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavihumibacter,uncultured_bacterium
a89c71d608d174ee755b83197c3f4b9b,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Larkinella,unassigned
54f7cab52b0b2fdf6db6723c9eadf78c,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
293f0acc7c8c6fb2f94776aeaab33758,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,unassigned
fbecd74680edc46cdced5e4a02dc65c3,Bacteria,Cyanobacteria,Cyanobacteriia,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena_PCC-7429,Pseudanabaena_sp.
88d36095d1848ee453d02ecab6bed01b,Bacteria,Patescibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,wastewater_metagenome
